#AIR (dry, near sea level)                                               

#Kinetic  	Projected
#Energy   	Range
#MeV      	g/cm2

1.000E-03	2.025E-06
1.500E-03	3.034E-06
2.000E-03	4.073E-06
2.500E-03	5.129E-06
3.000E-03	6.198E-06
4.000E-03	8.355E-06
5.000E-03	1.052E-05
6.000E-03	1.267E-05
7.000E-03	1.481E-05
8.000E-03	1.692E-05
9.000E-03	1.900E-05
1.000E-02	2.106E-05
1.250E-02	2.606E-05
1.500E-02	3.087E-05
1.750E-02	3.550E-05
2.000E-02	3.996E-05
2.250E-02	4.427E-05
2.500E-02	4.843E-05
2.750E-02	5.247E-05
3.000E-02	5.638E-05
3.500E-02	6.387E-05
4.000E-02	7.097E-05
4.500E-02	7.774E-05
5.000E-02	8.420E-05
5.500E-02	9.041E-05
6.000E-02	9.638E-05
6.500E-02	1.021E-04
7.000E-02	1.077E-04
7.500E-02	1.131E-04
8.000E-02	1.184E-04
8.500E-02	1.235E-04
9.000E-02	1.284E-04
9.500E-02	1.333E-04
1.000E-01	1.380E-04
1.250E-01	1.602E-04
1.500E-01	1.804E-04
1.750E-01	1.991E-04
2.000E-01	2.167E-04
2.250E-01	2.334E-04
2.500E-01	2.494E-04
2.750E-01	2.647E-04
3.000E-01	2.795E-04
3.500E-01	3.078E-04
4.000E-01	3.350E-04
4.500E-01	3.612E-04
5.000E-01	3.867E-04
5.500E-01	4.118E-04
6.000E-01	4.367E-04
6.500E-01	4.614E-04
7.000E-01	4.860E-04
7.500E-01	5.107E-04
8.000E-01	5.355E-04
8.500E-01	5.604E-04
9.000E-01	5.856E-04
9.500E-01	6.111E-04
1.000E+00	6.368E-04
1.250E+00	7.716E-04
1.500E+00	9.184E-04
1.750E+00	1.079E-03
2.000E+00	1.252E-03
2.250E+00	1.440E-03
2.500E+00	1.640E-03
2.750E+00	1.854E-03
3.000E+00	2.080E-03
3.500E+00	2.571E-03
4.000E+00	3.111E-03
4.500E+00	3.698E-03
5.000E+00	4.331E-03
5.500E+00	5.010E-03
6.000E+00	5.734E-03
6.500E+00	6.501E-03
7.000E+00	7.312E-03
7.500E+00	8.165E-03
8.000E+00	9.060E-03
8.500E+00	9.996E-03
9.000E+00	1.097E-02
9.500E+00	1.199E-02
1.000E+01	1.305E-02
1.250E+01	1.893E-02
1.500E+01	2.576E-02
1.750E+01	3.351E-02
2.000E+01	4.216E-02
2.500E+01	6.207E-02
2.750E+01	7.330E-02
3.000E+01	8.537E-02
3.500E+01	1.120E-01
4.000E+01	1.417E-01
4.500E+01	1.747E-01
5.000E+01	2.106E-01
5.500E+01	2.496E-01
6.000E+01	2.916E-01
6.500E+01	3.365E-01
7.000E+01	3.842E-01
7.500E+01	4.348E-01
8.000E+01	4.882E-01
8.500E+01	5.444E-01
9.000E+01	6.033E-01
9.500E+01	6.649E-01
1.000E+02	7.291E-01
1.250E+02	1.090E+00
1.500E+02	1.514E+00
1.750E+02	1.998E+00
2.000E+02	2.542E+00
2.250E+02	3.141E+00
2.500E+02	3.796E+00
2.750E+02	4.504E+00
3.000E+02	5.263E+00
3.500E+02	6.930E+00
4.000E+02	8.788E+00
4.500E+02	1.083E+01
5.000E+02	1.304E+01
5.500E+02	1.541E+01
6.000E+02	1.794E+01
6.500E+02	2.062E+01
7.000E+02	2.345E+01
7.500E+02	2.641E+01
8.000E+02	2.950E+01
8.500E+02	3.272E+01
9.000E+02	3.606E+01
9.500E+02	3.952E+01
1.000E+03	4.309E+01
